Genome_Name	NCBI_ID	Environment	Oxygen_Tolerance	Pathogenicity	Latitude	Longitude
Beggiatoa_sp_PS	422289	Non-Human, Marine (Other)	NA	NA	54.470842	9.83457
Beijerinckia_indica_indica_ATCC_9039	395963	Non-Human, Soil	Aerobe	NA	NA	NA
Bermanella_marisrubri	207949	Non-Human, Marine (Other)	Aerobe	NA	23.684774	37.485352
Beutenbergia_cavernae_HKI_0122_DSM_12333	471853	Non-Human, Soil	Aerobe	NA	25.307	110.263
Bifidobacterium_adolescentis_ATCC_15703	367928	Human, Gut	Anaerobe	Non-Pathogen	52.5534	13.4083
Bifidobacterium_adolescentis_L2_32	411481	Human, Gut	Anaerobe	Non-Pathogen	NA	NA
Bifidobacterium_angulatum_DSM_20098	518635	Human, Gut	Anaerobe	NA	NA	NA
Bifidobacterium_animalis_lactis_AD011	442563	Human, Gut	Anaerobe	Non-Pathogen	NA	NA
Bifidobacterium_animalis_lactis_HN019	486409	Human, Gut	Anaerobe	NA	NA	NA
Bifidobacterium_animalis_subsp_lactis_BB_12	552531	Human, Gut	Anaerobe	Non-Pathogen	NA	NA
Bifidobacterium_animalis_subsp_lactis_Bl_04	580050	Human, Gut	Anaerobe	Non-Pathogen	NA	NA
Bifidobacterium_animalis_subsp_lactis_DSM_10140	555970	Human, Gut	Anaerobe	Non-Pathogen	NA	NA
Bifidobacterium_animalis_subsp_lactis_V9	573236	Human, Gut	Anaerobe	Non-Pathogen	NA	NA
Bifidobacterium_bifidum_NCIMB_41171	398513	Human, Gut	Anaerobe	NA	NA	NA
Bifidobacterium_breve_DSM_20213	518634	Human, Gut	Anaerobe	NA	NA	NA
Bifidobacterium_catenulatum_DSM_16992	566552	Human, Gut	Anaerobe	NA	NA	NA
Bifidobacterium_dentium_ATCC_27678	473819	Human, Gut	Anaerobe	Non-Pathogen	NA	NA
Bifidobacterium_dentium_Bd1	401473	Human, Oral (Other)	Anaerobe	Non-Pathogen	NA	NA
Bifidobacterium_gallicum_DSM_20093	561180	Human, Gut	Anaerobe	NA	NA	NA
Bifidobacterium_longum_NCC2705	206672	Human, Gut	Anaerobe	Non-Pathogen	NA	NA
Bifidobacterium_longum_infantis_ATCC_15697	391904	Human, Gut	Anaerobe	Non-Pathogen	NA	NA
Bifidobacterium_longum_infantis_ATCC_55813	548480	Human, Gut	Anaerobe	NA	NA	NA
Bifidobacterium_longum_infantis_CCUG_52486	537937	Human, Gut	Anaerobe	NA	NA	NA
Bifidobacterium_longum_subsp_longum_JDM301	759350	Human, Gut	NA	NA	NA	NA
Bifidobacterium_pseudocatenulatum_DSM_20438	547043	Human, Gut	Anaerobe	NA	NA	NA
Blastopirellula_marina_DSM_3645	314230	Non-Human, Marine (Other)	NA	NA	54.4	10.2
Blattabacterium_sp_Blattella_germanica_str_Bge	331104	Non-Human	Aerobe	NA	NA	NA
Blattabacterium_sp_Periplaneta_americana_str_BPLAN	600809	Non-Human	Aerobe	NA	NA	NA
Blautia_hansenii_VPI_C7_24_DSM_20583	537007	Human, Gut	Anaerobe	NA	NA	NA
Blautia_hydrogenotrophicus_S5a33_DSM_10507	476272	Human, Gut	Anaerobe	NA	NA	NA
Bordetella_avium_197N	360910	Non-Human	Aerobe	Pathogen	NA	NA
Bordetella_bronchiseptica_RB50	257310	Non-Human	Obligate aerobe	Pathogen	NA	NA
Bordetella_parapertussis_12822	257311	Human	Obligate aerobe	Pathogen	NA	NA
Bordetella_pertussis_Tohama_I	257313	Human	Aerobe	Pathogen	NA	NA
Bordetella_petrii	94624	Non-Human	Anaerobe	Pathogen	NA	NA
Borrelia_afzelii_ACA_1	445986	Human, Skin	Aerobe	Pathogen	NA	NA
Borrelia_afzelii_PKo	390236	Human, Skin	Aerobe	Pathogen	NA	NA
Borrelia_burgdorferi_118a	476210	Human, Skin	Microaerophilic	Pathogen	40.756054	-73.986951
Borrelia_burgdorferi_156a	445983	Human	Aerobe	Pathogen	NA	NA
Borrelia_burgdorferi_29805	498738	Human	Aerobe	Pathogen	NA	NA
Borrelia_burgdorferi_64b	498740	Human, Skin	Microaerophilic	Pathogen	NA	NA
Borrelia_burgdorferi_72a	476211	Human, Skin	Aerobe	Pathogen	40.756054	-73.986951
Borrelia_burgdorferi_80a	498736	Human, Skin	Aerobe	Pathogen	NA	NA
Borrelia_burgdorferi_94a	476212	Human, Skin	Aerobe	Pathogen	40.756054	-73.986951
Borrelia_burgdorferi_B31	224326	Human	Aerobe	Pathogen	NA	NA
Borrelia_burgdorferi_Bol26	445984	Human, Skin	Aerobe	Pathogen	NA	NA
Borrelia_burgdorferi_CA_11_2a	498739	Human	Aerobe	Pathogen	NA	NA
Borrelia_burgdorferi_WI91_23	498737	Non-Human	Aerobe	Pathogen	NA	NA
Borrelia_burgdorferi_ZS7	445985	Human	Microaerophilic	Pathogen	NA	NA
Borrelia_duttonii_Ly	412419	Human	Aerobe	Pathogen	NA	NA
Borrelia_garinii_Far04	519049	Human	Microaerophilic	Pathogen	NA	NA
Borrelia_garinii_PBi	290434	Human	Aerobe	Pathogen	NA	NA
Borrelia_garinii_PBr	498743	Human	Aerobe	Pathogen	NA	NA
Borrelia_hermsii_DAH	314723	Human	Aerobe	Pathogen	NA	NA
Borrelia_recurrentis_A1	412418	Human	Aerobe	Pathogen	NA	NA
Borrelia_sp_SV1	498741	Non-Human	Microaerophilic	Pathogen	NA	NA
Borrelia_spielmanii_A14S	498742	Human	Microaerophilic	Pathogen	NA	NA
Borrelia_turicatae_91E135	314724	Non-Human	Aerobe	Pathogen	NA	NA
Borrelia_valaisiana_VS116	445987	Human	Microaerophilic	Pathogen	NA	NA
Brachybacterium_faecium_DSM_4810	446465	Non-Human, Soil	Aerobe	NA	NA	NA
Brachyspira_hyodysenteriae_WA1_ATCC_49526	565034	Non-Human, Farm	Anaerobe	Pathogen	NA	NA
Brachyspira_murdochii_DSM_12563	526224	Non-Human, Farm	Anaerobe	NA	52.939	-73.549
Bradyrhizobium_japonicum_USDA_110	224911	Non-Human	Aerobe	NA	NA	NA
Bradyrhizobium_sp_BTAi1	288000	Non-Human, Soil	Aerobe	NA	NA	NA
Bradyrhizobium_sp_ORS278	114615	Non-Human, Soil	Aerobe	Non-Pathogen	NA	NA
Brevibacillus_brevis_NBRC_100599	358681	Non-Human, Soil	Aerobe	NA	NA	NA
Brevibacterium_linens_BL2	321955	Non-Human, Soil, Food	Aerobe	NA	NA	NA
Brevibacterium_mcbrellneri_ATCC_49030	585530	Human, Urogenital (Other)	Aerobe	NA	NA	NA
Brevundimonas_sp_BAL3	391600	Non-Human, Marine (Other)	Aerobe	NA	63.51611	19.81583
Brevundimonas_subvibrioides_ATCC_15264	633149	Non-Human	Aerobe	NA	NA	NA
Brucella_abortus_NCTC_8038	575591	Human	Aerobe	Pathogen	NA	NA
Brucella_abortus_S19	430066	Human	Aerobe	Pathogen	NA	NA
Brucella_abortus_bv_1_9_941	262698	Human	Facultative	Pathogen	NA	NA
Brucella_abortus_bv_2_str_86_8_59	520450	Human	Aerobe	Pathogen	NA	NA
Brucella_abortus_bv_3_str_Tulya	520451	Human	Aerobe	Pathogen	NA	NA
Brucella_abortus_bv_4_str_292	520452	Human	Aerobe	Pathogen	NA	NA
Brucella_abortus_bv_5_str_B3196	520453	Human	Aerobe	Pathogen	NA	NA
Brucella_abortus_bv_6_str_870	520454	Human	Aerobe	Pathogen	NA	NA
Brucella_abortus_bv_9_str_C68	520455	Human	Aerobe	Pathogen	NA	NA
Brucella_abortus_str_2308_A	641140	Human	Aerobe	Pathogen	NA	NA
Brucella_canis_ATCC_23365	483179	Non-Human	Aerobe	Pathogen	NA	NA
Brucella_ceti_B1_94	520457	Human	Aerobe	Pathogen	NA	NA
Brucella_ceti_Cudo	595497	Non-Human	Aerobe	Pathogen	NA	NA
Brucella_ceti_M13_05_1	520460	Human	Aerobe	Pathogen	NA	NA
Brucella_ceti_M490_95_1	520458	Human	Aerobe	Pathogen	NA	NA
Brucella_ceti_M644_93_1	520459	Human	Aerobe	Pathogen	NA	NA
Brucella_melitensis_16M	224914	Non-Human, Farm	Aerobe	Pathogen	NA	NA
Brucella_melitensis_ATCC_23457	546272	Human	Aerobe	Pathogen	NA	NA
Brucella_melitensis_bv_1_str_16M	224914	Human	Aerobe	Pathogen	NA	NA
Brucella_melitensis_bv_1_str_Rev_1	520464	Human	Aerobe	Pathogen	NA	NA
Brucella_melitensis_bv_2_str_63_9	520465	Human	Aerobe	Pathogen	NA	NA
Brucella_melitensis_bv_3_str_Ether	520466	Human	Aerobe	Pathogen	NA	NA
Brucella_melitensis_bv_Abortus_2308	359391	Human	Aerobe	Pathogen	NA	NA
Brucella_microti_CCM_4915	568815	Human, Soil	Aerobe	Pathogen	48.991572	16.767425
Brucella_neotomae_5K33	520456	Human	Aerobe	Pathogen	NA	NA
Brucella_ovis_ATCC_25840	444178	Non-Human, Farm	Facultative	Pathogen	NA	NA
Brucella_pinnipedialis_B2_94	520461	Human	Aerobe	Pathogen	NA	NA
Brucella_pinnipedialis_M163_99_10	520463	Human	Aerobe	Pathogen	NA	NA
Brucella_pinnipedialis_M292_94_1	520462	Human	Aerobe	Pathogen	NA	NA
Brucella_sp_83_13	520449	Human	Aerobe	Pathogen	NA	NA
Brucella_sp_F5_99	437701	Human	Aerobe	Pathogen	NA	NA
Brucella_sp_NVSL_07_0026	520448	Human	Aerobe	Pathogen	NA	NA
Brucella_suis_1330	204722	Non-Human, Farm	Aerobe	Pathogen	NA	NA
Brucella_suis_ATCC_23445	470137	Human	Aerobe	Pathogen	NA	NA
Brucella_suis_bv_3_str_686	520487	Human	Aerobe	Pathogen	NA	NA
Brucella_suis_bv_4_str_40	520488	Human	Aerobe	Pathogen	NA	NA
Brucella_suis_bv_5_str_513	520489	Human	Aerobe	Pathogen	NA	NA
Bryantella_formatexigens_I_52_DSM_14469	478749	Human, Gut	Anaerobe	NA	NA	NA
Buchnera_aphidicola_5A_Acyrthosiphon_pisum	563178	Non-Human	NA	NA	43.084	-89.401
Buchnera_aphidicola_APS	107806	Non-Human	NA	NA	NA	NA
Buchnera_aphidicola_Bp	224915	Non-Human	NA	NA	NA	NA
Buchnera_aphidicola_Cc_Cinara_cedri	261318	Non-Human	NA	Non-Pathogen	NA	NA
Buchnera_aphidicola_Sg	198804	Non-Human	NA	NA	NA	NA
Buchnera_aphidicola_Tuc7_Acyrthosiphon_pisum	561501	Non-Human	NA	NA	32.248	-110.926
Buchnera_aphidicola_str_LSR1_Acyrthosiphon_pisum	593275	Non-Human	NA	NA	NA	NA
Bulleidia_extructa_W1219	679192	Human, Oral (Other)	Obligate anaerobe	NA	NA	NA
Burkholderia_ambifaria_IOP40_10	396596	Non-Human	Facultative	NA	NA	NA
Burkholderia_ambifaria_MC40_6	398577	Human	Facultative	Pathogen	NA	NA
Burkholderia_ambifaria_MEX_5	396597	Non-Human	Facultative	NA	NA	NA
Burkholderia_cenocepacia_AU_1054	331271	Human	Facultative	Pathogen	NA	NA
Burkholderia_cenocepacia_HI2424	331272	Human, Soil	Facultative	Pathogen	NA	NA
Burkholderia_cenocepacia_J2315	216591	Human	Aerobe	Pathogen	55.950176	-3.187536
Burkholderia_cenocepacia_MC0_3	406425	Human	Facultative	Pathogen	NA	NA
Burkholderia_cepacia_AMMD	339670	Non-Human	Facultative	NA	NA	NA
Burkholderia_glumae_BGR1	626418	Non-Human	Aerobe	Pathogen	NA	NA
Burkholderia_mallei_10399	320387	Human	Aerobe	Pathogen	NA	NA
Burkholderia_mallei_2002721280	370895	Human	NA	Pathogen	NA	NA
Burkholderia_mallei_ATCC_23344	243160	Human, Soil	Aerobe	Pathogen	NA	NA
Burkholderia_mallei_FMH	334802	Human	NA	Pathogen	NA	NA
Burkholderia_mallei_GB8_horse_4	320390	Human	Aerobe	Pathogen	NA	NA
Burkholderia_mallei_JHU	334803	Human	NA	Pathogen	NA	NA
Burkholderia_mallei_NCTC_10229	412022	Human	Aerobe	Pathogen	NA	NA
Burkholderia_mallei_NCTC_10247	320389	Human	Aerobe	Pathogen	39.940594	32.854385
Burkholderia_mallei_PRL_20	436115	Human	Aerobe	Pathogen	NA	NA
Burkholderia_mallei_SAVP1	320388	Human	Aerobe	Pathogen	NA	NA
Burkholderia_multivorans_ATCC_17616	395019	Human	Facultative	NA	NA	NA
Burkholderia_multivorans_CGD1	513051	Human	Aerobe	Pathogen	38.989977	-77.121382
Burkholderia_multivorans_CGD2	513052	Human, Oral (Other)	Aerobe	Pathogen	NA	NA
Burkholderia_multivorans_CGD2M	513053	Human	Aerobe	Pathogen	NA	NA
Burkholderia_oklahomensis_C6786	441162	Human, Skin	Aerobe	Pathogen	NA	NA
Burkholderia_oklahomensis_EO147	441163	Human, Gut	Aerobe	Pathogen	NA	NA
Burkholderia_phymatum_STM815	391038	Non-Human, Soil	Facultative	NA	NA	NA
Burkholderia_phytofirmans_PsJN	398527	Non-Human, Soil	Facultative	NA	47.9615	16.5171
Burkholderia_pseudomallei_1106a	357348	Human, Soil	Aerobe	Pathogen	NA	NA
Burkholderia_pseudomallei_1106b	357347	Human, Soil	Aerobe	Pathogen	NA	NA
Burkholderia_pseudomallei_112	441154	Human	Aerobe	Pathogen	NA	NA
Burkholderia_pseudomallei_14	441160	Human	Aerobe	Pathogen	NA	NA
Burkholderia_pseudomallei_1655	331109	Human, Soil	Aerobe	Pathogen	NA	NA
Burkholderia_pseudomallei_1710a	320371	Non-Human, Soil	Aerobe	Pathogen	NA	NA
Burkholderia_pseudomallei_1710b	320372	Human, Soil	Aerobe	Pathogen	NA	NA
Burkholderia_pseudomallei_305	425067	Human, Soil	Aerobe	Pathogen	-12.354729	130.88165
Burkholderia_pseudomallei_406e	360118	Human, Soil	Aerobe	Pathogen	NA	NA
Burkholderia_pseudomallei_576	557724	Human, Soil	Aerobe	Pathogen	13.723419	100.476232
Burkholderia_pseudomallei_668	320373	Human, Soil	Aerobe	Pathogen	NA	NA
Burkholderia_pseudomallei_7894	441156	Human	Aerobe	Pathogen	NA	NA
Burkholderia_pseudomallei_9	441158	Human	Aerobe	Pathogen	NA	NA
Burkholderia_pseudomallei_91	441159	Human	Aerobe	Pathogen	NA	NA
Burkholderia_pseudomallei_B7210	441155	Human	Aerobe	Pathogen	NA	NA
Burkholderia_pseudomallei_BCC215	441152	Human	Aerobe	Pathogen	NA	NA
Burkholderia_pseudomallei_DM98	441161	Human	Aerobe	Pathogen	NA	NA
Burkholderia_pseudomallei_K96243	272560	Human, Soil	Aerobe	Pathogen	NA	NA
Burkholderia_pseudomallei_MSHR346	536230	Human, Airways (Other), Soil	Aerobe	Pathogen	-12.353811	130.882602
Burkholderia_pseudomallei_NCTC_13177	441153	Human	Aerobe	Pathogen	NA	NA
Burkholderia_pseudomallei_Pakistan_9	595498	Human, Soil	Aerobe	Pathogen	NA	NA
Burkholderia_pseudomallei_Pasteur	331978	Human, Soil	Aerobe	Pathogen	NA	NA
Burkholderia_pseudomallei_S13	320374	Human, Soil	Aerobe	Non-Pathogen	NA	NA
Burkholderia_sp_383	269483	Human	Facultative	Pathogen	NA	NA
Burkholderia_sp_CCGE1001	640510	Non-Human	Facultative	NA	NA	NA
Burkholderia_sp_CCGE1002	640511	Non-Human	Facultative	NA	NA	NA
Burkholderia_sp_CCGE1003	640512	Non-Human	Facultative	NA	NA	NA
Burkholderia_sp_Ch1_1	243261	Non-Human, Soil	Facultative	NA	NA	NA
Burkholderia_sp_H160	516466	Non-Human	Facultative	NA	NA	NA
Burkholderia_thailandensis_Bt4	441164	Non-Human, Soil	Aerobe	NA	NA	NA
Burkholderia_thailandensis_E264	271848	Non-Human, Soil	Aerobe	Non-Pathogen	NA	NA
Burkholderia_thailandensis_MSMB43	441157	Human	Aerobe	Pathogen	NA	NA
Burkholderia_thailandensis_TXDOH	441165	Human, Soil	Aerobe	NA	NA	NA
Burkholderia_ubonensis_Bu	441166	Non-Human, Soil	Aerobe	NA	NA	NA
Burkholderia_vietnamiensis_G4	269482	Non-Human	Facultative	Pathogen	30.473413	-87.212261
Burkholderia_xenovorans_LB400	266265	Human, Soil	Aerobe	Pathogen	43.24	-73.6678
Butyrivibrio_crossotus_DSM_2876	511680	Human, Gut	Anaerobe	NA	NA	NA
Caldicellulosiruptor_bescii_Z_1320_DSM_6725	521460	Non-Human, Hydrothermal	Obligate anaerobe	NA	NA	NA
Caldicellulosiruptor_saccharolyticus_DSM_8903	351627	Non-Human, Hydrothermal	Anaerobe	Non-Pathogen	NA	NA
Caminibacter_mediatlanticus_TB_2	391592	Non-Human, Marine (Other)	NA	NA	36.23333	-33.90167
Campylobacter_coli_RM2228	306254	Non-Human	Microaerophilic	Pathogen	NA	NA
Campylobacter_concisus_13826	360104	Human, Gut	Microaerophilic	Pathogen	NA	NA
Campylobacter_curvus_525_92	360105	Human, Gut	Microaerophilic	Pathogen	NA	NA
Campylobacter_fetus_fetus_82_40	360106	Human	Microaerophilic	Pathogen	NA	NA
Campylobacter_fetus_subsp_venerealis_str_Azul_94	593452	Non-Human, Farm	Microaerophilic	Pathogen	-37.31781	-59.150391
Campylobacter_gracilis_RM3268	553220	Human, Oral (Gingivae)	Obligate anaerobe	NA	NA	NA
Campylobacter_hominis_ATCC_BAA_381	360107	Human, Gut	Microaerophilic	Non-Pathogen	NA	NA
Campylobacter_jejuni_RM1221	195099	Non-Human	Microaerophilic	Pathogen	NA	NA
Campylobacter_jejuni_doylei_269_97	360109	Human	Microaerophilic	Pathogen	NA	NA
Campylobacter_jejuni_ejuni_260_94	360108	Human	Microaerophilic	Pathogen	-33.922461	18.416619
Campylobacter_jejuni_jejuni_81116	407148	Human	Microaerophilic	Pathogen	NA	NA
Campylobacter_jejuni_jejuni_81_176	354242	Human	Microaerophilic	Pathogen	NA	NA
Campylobacter_jejuni_jejuni_84_25	360110	Human	Microaerophilic	Pathogen	NA	NA
Campylobacter_jejuni_jejuni_CF93_6	360111	Human	Microaerophilic	Pathogen	NA	NA
Campylobacter_jejuni_jejuni_HB93_13	360112	Human, Gut	Microaerophilic	Pathogen	NA	NA
Campylobacter_jejuni_jejuni_NCTC_11168	192222	Human, Gut	Microaerophilic	Pathogen	NA	NA
Campylobacter_jejuni_subsp_jejuni_1336	683082	Non-Human	Microaerophilic	Pathogen	NA	NA
Campylobacter_jejuni_subsp_jejuni_414	683083	Non-Human	Microaerophilic	Pathogen	NA	NA
Campylobacter_jejuni_subsp_jejuni_IA3902	567106	Non-Human, Farm	Microaerophilic	Pathogen	NA	NA
Campylobacter_lari_RM2100	306263	Human, Soil	Microaerophilic	Pathogen	NA	NA
Campylobacter_rectus_RM3267_CCUG_20446	553218	Human, Oral (Gingivae)	Microaerophilic	Pathogen	NA	NA
Campylobacter_showae_RM3277	553219	Human, Oral (Gingivae)	Microaerophilic	Pathogen	35.689488	139.691706
Campylobacter_upsaliensis_RM3195	306264	Human, Gut	Microaerophilic	Pathogen	NA	NA
Campylobacterales_bacterium_GD_1	439483	Non-Human, Marine (Other)	Anaerobe	NA	NA	NA
Candidatus_Accumulibacter_phosphatis_clade_IIA_str_UW_1	522306	Non-Human	Aerobe	NA	43.078418	-89.386482
Candidatus_Amoebophilus_asiaticus_5a2	452471	Non-Human	NA	NA	NA	NA
Candidatus_Azobacteroides_pseudotrichonymphae_genomovar_CFP2	511995	Non-Human	NA	NA	NA	NA
Candidatus_Blochmannia_floridanus	203907	Non-Human	NA	NA	NA	NA
Candidatus_Blochmannia_pennsylvanicus_BPEN	291272	Non-Human	NA	Pathogen	41.5632	-70.6167
Candidatus_Carsonella_ruddii_PV	387662	Non-Human	NA	Non-Pathogen	NA	NA
Candidatus_Cloacamonas_acidaminovorans	456827	Non-Human	NA	NA	NA	NA
Candidatus_Desulforudis_audaxviator_MP104C	477974	Non-Human	Anaerobe	NA	NA	NA
Candidatus_Endomicrobium_sp_Rs_D17	471821	Non-Human	NA	NA	NA	NA
Candidatus_Hamiltonella_defensa_5AT_Acyrthosiphon_pisum	572265	Non-Human	NA	NA	NA	NA
Candidatus_Hodgkinia_cicadicola_Dsem	573234	Non-Human	NA	NA	32.227832	-110.943784
Candidatus_Korarchaeum_cryptofilum_OPF8	374847	Non-Human	NA	NA	44.6111	-110.4412
Candidatus_Kuenenia_stuttgartiensis	174633	Non-Human	NA	NA	NA	NA
Candidatus_Liberibacter_asiaticus_str_psy62	537021	Non-Human	NA	Pathogen	NA	NA
Candidatus_Methanoregula_boonei_6A8	456442	Non-Human	Anaerobe	NA	NA	NA
Candidatus_Pelagibacter_sp_HTCC7211	439493	Non-Human, Marine (Other)	Aerobe	NA	NA	NA
Candidatus_Pelagibacter_ubique_HTCC1002	314261	Non-Human, Marine (Other)	Aerobe	NA	44.651523	-124.053042
Candidatus_Pelagibacter_ubique_HTCC1062	335992	Non-Human, Marine (Other)	Aerobe	NA	NA	NA
Candidatus_Phytoplasma_australiense	59748	Non-Human	Aerobe	Pathogen	NA	NA
Candidatus_Phytoplasma_mali	37692	Non-Human	Aerobe	Pathogen	49.401929	8.680239
Candidatus_Protochlamydia_amoebophila_UWE25	264201	Human	NA	Pathogen	NA	NA
Candidatus_Puniceispirillum_marinum_IMCC1322	488538	Non-Human, Marine (Other)	NA	NA	NA	NA
Candidatus_Riesia_pediculicola_USDA	515618	Non-Human	NA	NA	NA	NA
Candidatus_Ruthia_magnifica_Cm	413404	Non-Human, Marine (Other)	NA	Non-Pathogen	NA	NA
Candidatus_Sulcia_muelleri_DMIN	641892	Non-Human	NA	NA	NA	NA
Candidatus_Sulcia_muelleri_GWSS	444179	Non-Human	NA	NA	NA	NA
Candidatus_Sulcia_muelleri_Hc	374675	Non-Human	NA	NA	NA	NA
Candidatus_Sulcia_muelleri_SMDSEM	595499	Non-Human	NA	NA	32.222	-110.924
Candidatus_Vesicomyosocius_okutanii_HA	412965	Non-Human	Anaerobe	Non-Pathogen	35.2	139.5
Capnocytophaga_gingivalis_JCVIHMP016	553178	Human, Oral (Other)	Facultative	Pathogen	NA	NA
Capnocytophaga_ochracea_DSM_7271	521097	Human, Oral (Other)	Facultative	Pathogen	NA	NA
Capnocytophaga_sputigena_Capno	553177	Human, Oral (Gingivae)	Facultative	Pathogen	NA	NA
Carboxydothermus_hydrogenoformans_Z_2901	246194	Non-Human	Anaerobe	NA	47.116667	145.850278
Cardiobacterium_hominis_ATCC_15826	638300	Human	Aerobe	NA	NA	NA
Carnobacterium_sp_AT7	333990	Non-Human, Marine (Other)	NA	NA	52.885	-163
Catenibacterium_mitsuokai_DSM_15897	451640	Human, Gut	Anaerobe	NA	NA	NA
Catenulispora_acidiphila_DSM_44928	479433	Non-Human, Soil	Aerobe	NA	45.640618	9.002209
Catonella_morbi_ATCC_51271	592026	Human, Oral (Gingivae)	NA	NA	NA	NA
Caulobacter_crescentus_CB15	190650	Non-Human, Marine (Other), Soil	Obligate aerobe	NA	NA	NA
Caulobacter_crescentus_NA1000	565050	Non-Human, Marine (Other), Soil	Obligate aerobe	NA	NA	NA
Caulobacter_segnis_ATCC_21756	509190	Non-Human	Aerobe	NA	NA	NA
Caulobacter_sp_K31	366602	Non-Human	Aerobe	NA	NA	NA
Cellulomonas_flavigena_DSM_20109	446466	Non-Human, Soil	Facultative	NA	NA	NA
Cellvibrio_japonicus_Ueda107	498211	Non-Human, Soil	Aerobe	NA	NA	NA
Cenarchaeum_symbiosum_A	414004	Non-Human, Marine (Other)	Aerobe	NA	34.423403	-119.704416
Chelativorans_sp_BNC1	266779	Non-Human	Aerobe	Non-Pathogen	NA	NA
Chitinophaga_pinensis_DSM_2588	485918	Non-Human	Aerobe	NA	-27.424	153
Chlamydia_trachomatis_434_Bu	471472	Human	NA	Pathogen	NA	NA
Chlamydia_trachomatis_6276	564416	Human	NA	Pathogen	NA	NA
Chlamydia_trachomatis_6276s	564417	Human	NA	Pathogen	NA	NA
Chlamydia_trachomatis_70	564418	Human	NA	Pathogen	NA	NA
Chlamydia_trachomatis_70s	564419	Human	NA	Pathogen	NA	NA
Chlamydia_trachomatis_A_HAR_13	315277	Human	NA	Pathogen	NA	NA
Chlamydia_trachomatis_B_Jali20_OT	580049	Human	NA	Pathogen	NA	NA
Chlamydia_trachomatis_B_TZ1A828_OT	580049	Human	NA	Pathogen	NA	NA
Chlamydia_trachomatis_D_EC	759363	Human	NA	Pathogen	NA	NA
Chlamydia_trachomatis_D_LC	759364	Human	NA	Pathogen	NA	NA
Chlamydia_trachomatis_D_UW_3_CX	272561	Human	NA	Pathogen	NA	NA
Chlamydia_trachomatis_D_s_2923	573237	Human	NA	Pathogen	NA	NA
Chlamydia_trachomatis_E_11023	707183	Human	NA	Pathogen	NA	NA
Chlamydia_trachomatis_E_150	707184	Human	NA	Pathogen	NA	NA
Chlamydia_trachomatis_G_11074	707187	Human	NA	Pathogen	NA	NA
Chlamydia_trachomatis_G_11222	707186	Human, Urogenital (Other)	NA	Pathogen	NA	NA
Chlamydia_trachomatis_G_9301	718219	Human	NA	Pathogen	NA	NA
Chlamydia_trachomatis_G_9768	707185	Human	NA	Pathogen	NA	NA
Chlamydia_trachomatis_L2b_UCH_1_proctitis	471473	Human, Urogenital (Other)	NA	Pathogen	NA	NA
Chlamydophila_abortus_S26_3	218497	Non-Human, Farm	NA	Pathogen	NA	NA
Chlamydophila_caviae_GPIC	227941	Non-Human	NA	Pathogen	NA	NA
Chlamydophila_felis_Fe_C_56	264202	Non-Human	NA	Pathogen	NA	NA
Chlamydophila_pneumoniae_AR39	115711	Human, Airways (Other)	NA	Pathogen	NA	NA
Chlamydophila_pneumoniae_CWL029	115713	Human	NA	Pathogen	NA	NA
Chlamydophila_pneumoniae_J138	138677	Human, Airways (Other)	NA	Pathogen	NA	NA
Chlamydophila_pneumoniae_LPCoLN	406984	Human	NA	Pathogen	NA	NA
Chlamydophila_pneumoniae_TW_183	182082	Human	NA	Pathogen	NA	NA
Chlorobaculum_parvum_NCIB_8327	517417	Non-Human	Facultative	NA	NA	NA
Chlorobaculum_tepidum_TLS	194439	Non-Human, Hydrothermal	Obligate anaerobe	NA	NA	NA
Chlorobium_chlorochromatii_CaD3	340177	Non-Human	Anaerobe	NA	NA	NA
Chlorobium_ferrooxidans_DSM_13031	377431	Non-Human	Anaerobe	NA	NA	NA
Chlorobium_limicola_DSM_245	290315	Non-Human, Hydrothermal	Anaerobe	NA	NA	NA
Chlorobium_luteolum_DSM_273	319225	Non-Human, Hydrothermal	Anaerobe	NA	61.75	6.816667
Chlorobium_phaeobacteroides_BS1	331678	Non-Human, Marine (Other)	Facultative	NA	NA	NA
Chlorobium_phaeobacteroides_DSM_266	290317	Non-Human	Facultative	Non-Pathogen	60.025392	10.666437
Chlorobium_phaeovibrioides_DSM_265	290318	Non-Human	Facultative	NA	NA	NA
Chloroflexus_aggregans_DSM_9485	326427	Non-Human, Hydrothermal	Facultative	NA	NA	NA
Chloroflexus_aurantiacus_J_10_fl	324602	Non-Human, Hydrothermal	Anaerobe	NA	35.23968	139.04623
Chloroflexus_sp_Y_400_fl	480224	Non-Human	NA	NA	45.424979	-88.771304
Chloroherpeton_thalassium_ATCC_35110	517418	Non-Human	Facultative	NA	NA	NA
Chromobacterium_violaceum_ATCC_12472	243365	Human, Soil	Facultative	Pathogen	NA	NA
Chromohalobacter_salexigens_DSM_3043	290398	Non-Human	Facultative	Non-Pathogen	NA	NA
Chryseobacterium_gleum_F93_ATCC_35910	525257	Human, Urogenital (Vaginal)	Aerobe	NA	NA	NA
Chthoniobacter_flavus_Ellin428	497964	Non-Human, Soil	Aerobe	NA	NA	NA
Citreicella_sp_SE45	501479	Non-Human, Marine (Other)	NA	NA	NA	NA
Citrobacter_koseri_ATCC_BAA_895	290338	Human, Gut, Soil, Food	Facultative	Pathogen	NA	NA
